gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1262387892	StillImage	image/jpeg	https://static.inaturalist.org/photos/3210263/original.jpg?1458768261	http://www.inaturalist.org/photos/3210263			2016-03-19T18:40Z	krivers		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	krivers
1262384652	StillImage	image/jpeg	https://static.inaturalist.org/photos/3194351/original.JPG?1458524337	http://www.inaturalist.org/photos/3194351			2016-03-20T16:24Z	Donna Pomeroy		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Donna Pomeroy
1262384113	StillImage	image/jpeg	https://static.inaturalist.org/photos/3192027/original.jpg?1458502607	http://www.inaturalist.org/photos/3192027			2016-03-20T17:23Z	Leslie Flint		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Leslie Flint
1262378330		application/octet-stream	https://static.inaturalist.org/photos/3165614/original.jpeg?1458139421	http://conabio.inaturalist.org/photos/3165614			2016-03-15T07:30Z	Carlos Velazco		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Carlos Velazco
1262370253	StillImage	image/jpeg	https://static.inaturalist.org/photos/3121408/original.jpg?1457473551	http://conabio.inaturalist.org/photos/3121408			2015-11-19T01:00Z	appffusumacinta		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	appffusumacinta
1257409838	StillImage	image/jpeg	https://static.inaturalist.org/photos/3082009/original.jpg?1456770426	http://www.inaturalist.org/photos/3082009			2016-02-28T20:05Z	Cristóbal Bienteli		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Cristóbal Bienteli
1253308395	StillImage	image/jpeg	https://static.inaturalist.org/photos/3058893/original.jpg?1456344840	http://www.inaturalist.org/photos/3058893			2014-12-25T08:11Z	Dean Goehring		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Dean Goehring
1253304487	StillImage	image/jpeg	https://static.inaturalist.org/photos/3043575/original.jpg?1456039946	http://www.inaturalist.org/photos/3043575			2016-02-21T00:51Z	Cindy Roessler		iNaturalist			http://creativecommons.org/licenses/by-nc-sa/4.0/	Cindy Roessler
1253304487	StillImage	image/jpeg	https://static.inaturalist.org/photos/3043576/original.jpg?1456039947	http://www.inaturalist.org/photos/3043576			2016-02-21T03:08Z	Cindy Roessler		iNaturalist			http://creativecommons.org/licenses/by-nc-sa/4.0/	Cindy Roessler
1253304487	StillImage	image/jpeg	https://static.inaturalist.org/photos/3043577/original.jpg?1456039947	http://www.inaturalist.org/photos/3043577			2016-02-21T03:09Z	Cindy Roessler		iNaturalist			http://creativecommons.org/licenses/by-nc-sa/4.0/	Cindy Roessler
1253300373	StillImage	image/jpeg	https://static.inaturalist.org/photos/2939212/original.JPG?1454001065	http://www.inaturalist.org/photos/2939212			2016-01-27T21:34Z	bob-dodge		iNaturalist			http://creativecommons.org/licenses/by/4.0/	bob-dodge
1249300037	StillImage	image/pjpeg	https://static.inaturalist.org/photos/3029199/original.JPG?1455744297	http://conabio.inaturalist.org/photos/3029199			2016-01-21T18:56Z	nuvia		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	nuvia
1249284677	StillImage	image/jpeg	https://static.inaturalist.org/photos/2966386/original.jpg?1454564289	http://www.inaturalist.org/photos/2966386			2011-10-03T00:43Z	Evan Albright		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Evan Albright
1249282110		application/octet-stream	https://static.inaturalist.org/photos/2957228/original.jpeg?1454360072	http://www.inaturalist.org/photos/2957228			2016-01-29T19:10Z	Christine Hass		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Christine Hass
1249282110		application/octet-stream	https://static.inaturalist.org/photos/2957270/original.jpeg?1454360487	http://www.inaturalist.org/photos/2957270			2016-01-29T19:10Z	Christine Hass		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Christine Hass
1249280442	StillImage	image/jpeg	https://static.inaturalist.org/photos/2949275/original.jpg?1454203522	http://www.inaturalist.org/photos/2949275			2015-12-20T20:16Z	Evan Albright		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Evan Albright
1249280442	StillImage	image/jpeg	https://static.inaturalist.org/photos/2949281/original.jpg?1454203585	http://www.inaturalist.org/photos/2949281			2015-12-20T20:16Z	Evan Albright		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Evan Albright
1249277646		application/octet-stream	https://static.inaturalist.org/photos/2915743/original.jpeg?1453524168	http://www.inaturalist.org/photos/2915743			2016-01-21T22:44Z	Christine Hass		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Christine Hass
1249277646		application/octet-stream	https://static.inaturalist.org/photos/2915769/original.jpeg?1453524240	http://www.inaturalist.org/photos/2915769			2016-01-21T22:44Z	Christine Hass		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Christine Hass
1249242143				http://arctos.database.museum/MediaSearch.cfm?collection_object_id=25770361										
