gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1500068973	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297128?seid=3555428	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	San Francisco River, near Big Dry Creek	939ed180-aa7b-11db-8edf-b8a03c50a862	33.21434	-108.907673							2015-03-06T01:00Z	6	3	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297128		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): Lloyd Lindbeck, New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1500068971	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297132?seid=3555432	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	Mimms Lake	939ed180-aa7b-11db-8edf-b8a03c50a862	33.159427	-107.222013	587.0						2015-12-09T01:00Z	9	12	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297132		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		
1500068970	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297129?seid=3555429	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	Caballo Mountains, sheep area	939ed180-aa7b-11db-8edf-b8a03c50a862	32.910372	-107.204231							2015-02-23T01:00Z	23	2	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297129		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1500068964	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297122?seid=3554222	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	S of Hatchita	939ed180-aa7b-11db-8edf-b8a03c50a862	31.922716	-108.427016							2015-12-10T01:00Z	10	12	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297122		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1500068933	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297123?seid=3554310	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	Caballo Mountains	939ed180-aa7b-11db-8edf-b8a03c50a862	33.045015	-106.636823							2016-01-28T01:00Z	28	1	2016	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297123		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1457615144	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5593207	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.112293	-121.35862	27.0						2017-03-24T01:00Z	24	3	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5593207			CC_BY_NC_4_0	Mike	Mike			2017-04-21T17:20Z		GEODETIC_DATUM_ASSUMED_WGS84
1457604698	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5558474	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	AR		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-26.798123	-59.593673	8522.0						2016-09-09T15:51Z	9	9	2016	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5558474			CC_BY_NC_4_0	Leonel Roget	Leonel Roget			2017-04-21T17:20Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1457596788	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5536415	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.368987	-122.514472	190.0						2017-04-01T22:00Z	1	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5536415			CC_BY_NC_4_0	Dominic	Dominic			2017-04-21T17:19Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1457595726	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5533778	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.370172	-122.498241	31.0						2017-04-01T13:08Z	1	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5533778			CC_BY_NC_4_0	Richard Wasson	Richard Wasson			2017-05-06T13:13Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1457586364	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5400357	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.306004	-119.202888							2017-03-19T13:31Z	19	3	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5400357			CC_BY_NC_4_0	Jessica Nikolai	Jessica Nikolai			2017-04-21T17:18Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
